region,zone,district,Month,Year,date,test_performed,confirmed_all,confirmed_u5,confirmed_5_14,confirmed_15,population,pop_5,pop_514,pop_15,war_affected_regions,war_affected_zones,war_affected_districts
Amhara,Awi,Chagni town,January,2020,2020-01-01,1576,95,10,16,69,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,February,2020,2020-02-01,1840,75,14,12,49,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,March,2020,2020-03-01,1701,67,13,5,49,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,April,2020,2020-04-01,804,23,3,2,18,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,May,2020,2020-05-01,1349,89,9,16,64,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,June,2020,2020-06-01,796,115,7,50,58,40583.25098,5865.273163,10190.38809,24527.58973,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,July,2021,2021-07-01,1613,114,34,33,47,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,August,2021,2021-08-01,764,92,17,15,60,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,September,2021,2021-09-01,1346,85,22,18,45,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,October,2021,2021-10-01,1750,184,17,41,126,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,November,2021,2021-11-01,1333,100,8,24,68,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,December,2021,2021-12-01,1306,74,7,16,51,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,January,2021,2021-01-01,461,3,0,0,3,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,February,2021,2021-02-01,783,4,0,0,4,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,March,2021,2021-03-01,602,4,1,1,2,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,April,2021,2021-04-01,1682,3,0,2,1,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,May,2021,2021-05-01,1083,70,7,15,48,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Chagni town,June,2021,2021-06-01,9928,1373,201,148,1024,41213.61118,5956.375642,10348.67051,24908.56503,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,July,2019,2019-07-01,218,10,0,1,9,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,August,2019,2019-08-01,191,9,0,3,6,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,September,2019,2019-09-01,283,21,0,2,19,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,October,2019,2019-10-01,325,32,1,0,31,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,November,2019,2019-11-01,409,13,0,1,12,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,December,2019,2019-12-01,260,13,1,2,10,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,January,2019,2019-01-01,249,7,0,1,6,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,February,2019,2019-02-01,179,2,0,0,2,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,March,2019,2019-03-01,238,6,0,0,6,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,April,2019,2019-04-01,132,8,0,2,6,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,May,2019,2019-05-01,231,16,0,0,16,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,June,2019,2019-06-01,276,24,2,0,22,36083.35689,5214.928319,9060.472027,21807.95654,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,July,2020,2020-07-01,360,18,2,5,11,36658.6857,5298.077415,9204.936152,22155.67213,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,August,2020,2020-08-01,312,11,1,1,9,36658.6857,5298.077415,9204.936152,22155.67213,Affected_regions,Not_affected,Not_affected
Amhara,Awi,Dangila town,September,2020,2020-09-01,413,23,1,2,20,36658.6857,5298.077415,9204.936152,22155.67213,Affected_regions,Not_affected,Not_affected
